id,series,difficulty,tags,question,correct_answer,wrong_1,wrong_2,wrong_3,source_note,review_notes
blc-070,Bleach,medium,,"According to Isshin, what does Ichigo's name mean?",One who protects,Strawberry,First son,Sword of the moon,Isshin explains it early in the series.,
blc-071,Bleach,hard,,Ichigo's Final Getsuga Tensho lets him use a technique named...?,Mugetsu,Senka,Gran Rey Cero,Zanka no Tachi,"Deicide arc, against Aizen.",
blc-072,Bleach,hard,,How long can Ichigo keep his Hollow mask on when he first learns to control it?,11 seconds,60 seconds,3 seconds,30 minutes,Arrancar arc; he keeps training with the Visoreds to extend it.,
blc-073,Bleach,hard,,Which form of Senbonzakura Kageyoshi condenses every blade into a single white sword?,Shukei: Hakuteiken,Senkei,Gokei,Ikka Senjinka,Used against Zommari in the Hueco Mundo arc.,
blc-074,Bleach,hard,,Senbonzakura's blades cannot enter a zone around Byakuya's own body. How wide is that 'hurtless area'?,85 centimetres,1 metre,10 centimetres,3 metres,Ichigo works it out during their Soul Society arc fight.,
blc-075,Bleach,hard,,What is the name of the mascot character Byakuya likes to draw?,Seaweed Ambassador,Chappy the Rabbit,Kon,Sakura Lion,"Wakame Taishi, from the omake and anime extras.",
blc-076,Bleach,hard,,What is the name of Mayuri Kurotsuchi's Bankai?,Konjiki Ashisogi Jizo,Kannonbiraki Benihime Aratame,Zanka no Tachi,Kokujo Tengen Myo'o,"Soul Society arc, against Uryu.",
blc-077,Bleach,hard,,Which squad publishes the Seireitei Bulletin?,Squad 9,Squad 12,Squad 1,Squad 4,Squad 9's official duty.,
blc-078,Bleach,hard,,Which Sternritter can make anything he imagines real?,Gremmy Thoumeaux,Askin Nakk Le Vaar,Lille Barro,Gerard Valkyrie,"'The Visionary', defeated by Kenpachi.",
blc-079,Bleach,hard,,What was Captain Retsu Unohana's original name?,Yachiru Unohana,Retsu Zaraki,Isane Kotetsu,Yachiru Kusajishi,The first Kenpachi; Zaraki named his lieutenant after her.,
blc-080,Bleach,hard,,"The Quincy purge in which Yhwach stole power from 'impure' Quincy, which led to Masaki's death, is called...?",Auswahlen,Sklaverei,Vollstandig,Blut Vene,Thousand-Year Blood War arc.,
blc-081,Bleach,hard,,What is the title of the first chapter of the Bleach manga?,Death & Strawberry,Scatter,Black Moon Rising,Enter the Hollow,Chapter 1.,
blc-082,Bleach,hard,,"Aizen's original sentence of 18,800 years was extended to 20,000 years because he...?",Insulted the Central 46,Attacked a guard,Refused to speak,Tried to escape,Post-Deicide; Central 46 added time after his remark.,
blc-083,Bleach,hard,,"Who is the leader of Squad Zero, the Royal Guard?",Ichibe Hyosube,Oetsu Nimaiya,Senjumaru Shutara,Tenjiro Kirinji,Thousand-Year Blood War arc.,
blc-084,Bleach,hard,,Which Squad Zero member forges Zanpakuto?,Oetsu Nimaiya,Ichibe Hyosube,Kirio Hikifune,Senjumaru Shutara,He reforges Ichigo's Zangetsu.,
blc-085,Bleach,hard,,What is the name of Soi Fon's missile-shaped Bankai?,Jakuho Raikoben,Suzumebachi,Shunko,Kokujo Tengen Myo'o,"Fake Karakura Town arc, against Baraggan.",
blc-086,Bleach,hard,,"Shunsui Kyoraku's Zanpakuto, which forces its opponents to play children's games, is...?",Katen Kyokotsu,Sogyo no Kotowari,Ryujin Jakka,Minazuki,"Fake Karakura Town arc, against Starrk.",
blc-087,Bleach,hard,,What is the name of Squad 1's long-serving lieutenant killed in the first Quincy invasion?,Chojiro Sasakibe,Tetsuzaemon Iba,Marechiyo Omaeda,Sentaro Kotsubaki,Thousand-Year Blood War arc.,
blc-088,Bleach,hard,,"Yumichika's true Zanpakuto, which he hides because it is a Kido type, is...?",Ruri'iro Kujaku,Fuji Kujaku,Hozukimaru,Kazeshini,Shown against Charlotte Chuhlhourne.,
blc-089,Bleach,hard,,"After Zangetsu is reforged in the Thousand-Year Blood War, how many blades does Ichigo wield?",Two,One,Three,"None, he uses his fists","A large and a small blade, representing his Hollow and Quincy sides.",
blc-090,Bleach,medium,filler,"In the anime's Bount arc, who leads the Bounts?",Jin Kariya,Go Koga,Ryo Utagawa,Maki Ichinose,Anime-only Bount arc.,
blc-091,Bleach,medium,filler,"The three Mod Souls who help Ichigo hunt Bounts are Ririn, Noba and...?",Kurodo,Kon,Chappy,Nemu,Anime-only Bount arc.,
blc-092,Bleach,medium,filler,"In the Bount arc, Uryu regains his Quincy powers with a bangle given to him by...?",Nemu Kurotsuchi,Ryuken Ishida,Mayuri Kurotsuchi,Kisuke Urahara,Anime-only Bount arc; the Quincy Bangle.,
blc-093,Bleach,medium,filler,"Shusuke Amagai becomes captain of which squad, replacing the traitor Gin Ichimaru?",Squad 3,Squad 5,Squad 9,Squad 6,Anime-only New Captain Shusuke Amagai arc.,
blc-094,Bleach,hard,filler,Captain Amagai's real goal was revenge against Head Captain Yamamoto for...?,The death of his father,Exiling his clan,Killing his Zanpakuto spirit,Disbanding his squad,Anime-only Amagai arc.,
blc-095,Bleach,medium,filler,"In the New Captain Shusuke Amagai arc, Ichigo's group protects a young noble named...?",Rurichiyo Kasumioji,Senna,Nozomi Kujo,Homura,Anime-only Amagai arc.,
blc-096,Bleach,medium,filler,"In the Zanpakuto Rebellion arc, the villain Muramasa is the Zanpakuto of which Kuchiki clan member?",Koga Kuchiki,Ginrei Kuchiki,Sojun Kuchiki,Hisana Kuchiki,Anime-only Zanpakuto Unknown Tales arc.,
blc-097,Bleach,medium,filler,"In the Zanpakuto Rebellion arc, Senbonzakura's materialised spirit wears...?",A samurai mask,A nobleman's scarf,Nothing but petals,A Hollow mask,Anime-only Zanpakuto Unknown Tales arc.,
blc-098,Bleach,medium,filler,"When Zabimaru materialises in the Zanpakuto Rebellion arc, it appears as...?",A monkey-woman and a snake-child,A giant baboon,Twin swordsmen,A skeletal serpent,Anime-only; Saru and Hebi.,
blc-099,Bleach,medium,filler,"In the Gotei 13 Invading Army arc, Kageroza Inaba creates copies of Soul Reapers called...?",Reigai,Gigai,Bounts,Fraccion,Anime-only Gotei 13 Invading Army arc.,
blc-100,Bleach,hard,filler,"In the anime's Bount arc, what do the Bounts feed on to live forever?",Human souls,Reishi from Hollows,Zanpakuto,Blood,Anime-only Bount arc.,
nar-001,Naruto,easy,,Which Tailed Beast is sealed inside Naruto?,The Nine-Tails,The One-Tail,The Eight-Tails,The Two-Tails,Episode 1.,
nar-002,Naruto,easy,,Which jutsu did Naruto learn from the Forbidden Scroll?,Shadow Clone Jutsu,Rasengan,Sexy Jutsu,Summoning Jutsu,Episode 1.,
nar-003,Naruto,easy,,Who is the sensei of Team 7?,Kakashi Hatake,Iruka Umino,Might Guy,Asuma Sarutobi,Introduced in the early episodes.,
nar-004,Naruto,easy,,What is Naruto's dream?,To become Hokage,To defeat Sasuke,To join the Akatsuki,To open a ramen shop,Stated constantly from episode 1.,
nar-005,Naruto,easy,,Which village is Naruto from?,The Hidden Leaf Village,The Hidden Sand Village,The Hidden Mist Village,The Hidden Cloud Village,Konohagakure.,
nar-006,Naruto,easy,,"Sasuke Uchiha's older brother, who massacred their clan, is...?",Itachi,Madara,Obito,Shisui,Revealed in the early series.,
nar-007,Naruto,easy,,Which eye technique is the Uchiha clan known for?,Sharingan,Byakugan,Rinnegan,Tenseigan,Land of Waves arc.,
nar-008,Naruto,easy,,What is Naruto's favourite food?,Ramen,Sushi,Dango,Curry,Ichiraku Ramen.,
nar-009,Naruto,easy,,The organisation of rogue ninja in black cloaks with red clouds is...?,The Akatsuki,The Anbu,The Sound Four,Root,Introduced in the Search for Tsunade arc.,
nar-010,Naruto,medium,,Who taught Naruto the Rasengan?,Jiraiya,Kakashi,Minato,Tsunade,Search for Tsunade arc.,
nar-011,Naruto,medium,,Which of the Legendary Sannin becomes the Fifth Hokage?,Tsunade,Jiraiya,Orochimaru,Kakashi,Search for Tsunade arc.,
nar-012,Naruto,medium,,Who is Naruto's father?,Minato Namikaze,Hiruzen Sarutobi,Jiraiya,Hashirama Senju,"The Fourth Hokage, confirmed during the Pain arc.",
nar-013,Naruto,medium,,Gaara is the jinchuriki of which Tailed Beast?,Shukaku the One-Tail,Matatabi the Two-Tails,Gyuki the Eight-Tails,Kurama the Nine-Tails,Chunin Exams arc.,
nar-014,Naruto,medium,,"Kakashi's signature lightning jutsu, which he teaches to Sasuke, is...?",Chidori,Rasengan,Kirin,Amaterasu,Chunin Exams arc.,
nar-015,Naruto,medium,,Rock Lee is unable to use...?,Ninjutsu or genjutsu,Taijutsu,Weapons,Chakra at all,Chunin Exams arc.,
nar-016,Naruto,medium,,Who leads the Akatsuki when it attacks the Hidden Leaf and fights Naruto?,Pain (Nagato),Itachi,Tobi,Kisame,Pain's Assault arc.,
nar-017,Naruto,medium,,Which Uchiha is revealed to be the masked man called Tobi?,Obito Uchiha,Madara Uchiha,Shisui Uchiha,Izuna Uchiha,Fourth Shinobi World War.,
nar-018,Naruto,medium,,Where does Naruto learn Sage Mode?,Mount Myoboku with the toads,Ryuchi Cave with the snakes,Shikkotsu Forest with the slugs,The Valley of the End,Taught by Fukasaku after Jiraiya's death.,
nar-019,Naruto,medium,,Who is the medical ninja on Team 7 trained by Tsunade?,Sakura Haruno,Ino Yamanaka,Hinata Hyuga,Tenten,Between the original series and Shippuden.,
nar-020,Naruto,hard,,"What is the forbidden sealing technique that costs the user's own life, used by the Third Hokage against Orochimaru?",Reaper Death Seal,Eight Trigrams Sealing,Flying Thunder God,Reanimation Jutsu,Invasion of Konoha arc.,
nar-021,Naruto,hard,,Who founded the Hidden Leaf Village alongside Hashirama Senju?,Madara Uchiha,Tobirama Senju,Hiruzen Sarutobi,Kagami Uchiha,Revealed in the Shippuden flashbacks.,
nar-022,Naruto,hard,,The Seven Ninja Swordsmen belong to which village?,The Hidden Mist,The Hidden Cloud,The Hidden Stone,The Hidden Rain,Zabuza is introduced as one in the Land of Waves arc.,
nar-023,Naruto,hard,,"Who is the final villain of the Fourth Shinobi World War, the mother of all chakra?",Kaguya Otsutsuki,Madara Uchiha,Black Zetsu,Hagoromo Otsutsuki,End of the war arc.,
nar-024,Naruto,hard,,Which gate does Might Guy open against Madara Uchiha?,The Eighth Gate of Death,The Sixth Gate of Joy,The Seventh Gate of Wonder,The Fifth Gate of Closing,Fourth Shinobi World War.,
nar-025,Naruto,hard,,"Who is the Eight-Tails jinchuriki, the Fourth Raikage's adoptive brother?",Killer Bee,Darui,Omoi,Shee,"Shippuden, Five Kage Summit era.",
nar-026,Naruto,easy,,Which Academy teacher was the first to acknowledge Naruto?,Iruka Umino,Mizuki,Kakashi Hatake,Ebisu,Episode 1.,
nar-027,Naruto,easy,,What is Naruto's catchphrase in the English dub?,Believe it!,Dattebayo!,Ya know!,Let's go!,The English anime's translation of 'dattebayo'.,
nar-028,Naruto,easy,,What is Sasuke's ambition when the series begins?,To kill his brother and restore his clan,To become Hokage,To join the Akatsuki,To master every jutsu,Stated in Team 7's first meeting.,
nar-029,Naruto,easy,,Who does Sakura have a crush on at the start of the series?,Sasuke,Naruto,Kakashi,Rock Lee,Early episodes.,
nar-030,Naruto,easy,,Team 7's first real mission is to escort a bridge builder named...?,Tazuna,Inari,Gato,Kaiza,Land of Waves arc.,
nar-031,Naruto,easy,,What are the exams that let genin be promoted to the next rank?,The Chunin Exams,The Jonin Trials,The Hokage Exams,The Anbu Selection,Chunin Exams arc.,
nar-032,Naruto,easy,,Which Sannin bites Sasuke and leaves a Curse Mark on his neck?,Orochimaru,Jiraiya,Tsunade,Kabuto,"Chunin Exams arc, Forest of Death.",
nar-033,Naruto,easy,,Gaara comes from which village?,The Hidden Sand,The Hidden Leaf,The Hidden Mist,The Hidden Stone,Chunin Exams arc.,
nar-034,Naruto,easy,,Which clan uses the Shadow Possession Jutsu?,The Nara clan,The Yamanaka clan,The Akimichi clan,The Aburame clan,Shikamaru's clan.,
nar-035,Naruto,easy,,Which of Naruto's classmates is always eating a bag of chips?,Choji Akimichi,Shikamaru Nara,Kiba Inuzuka,Shino Aburame,Chunin Exams arc.,
nar-036,Naruto,easy,,What is the name of Kiba's ninja hound?,Akamaru,Pakkun,Tonton,Gamakichi,Chunin Exams arc.,
nar-037,Naruto,easy,,Shino Aburame's clan fights using...?,Insects,Dogs,Shadows,Puppets,Chunin Exams arc.,
nar-038,Naruto,easy,,Hinata belongs to which clan?,The Hyuga clan,The Uchiha clan,The Senju clan,The Uzumaki clan,Chunin Exams arc.,
nar-039,Naruto,easy,,Who is Rock Lee's beloved sensei?,Might Guy,Kakashi Hatake,Asuma Sarutobi,Kurenai Yuhi,Chunin Exams arc.,
nar-040,Naruto,easy,,What is the name of Naruto's transformation into a naked woman to distract opponents?,Sexy Jutsu,Harem Jutsu,Transformation Jutsu,Shadow Clone Jutsu,Episode 1.,
nar-041,Naruto,easy,,What title did Naruto's father hold?,The Fourth Hokage,The Third Hokage,The Fifth Hokage,The First Hokage,Minato Namikaze.,
nar-042,Naruto,easy,,What is the name of Naruto's mother?,Kushina Uzumaki,Mito Uzumaki,Karin Uzumaki,Tsunade Senju,Revealed in Shippuden.,
nar-043,Naruto,easy,,What are the three basic ninja arts?,"Ninjutsu, genjutsu and taijutsu","Kenjutsu, fuinjutsu and senjutsu","Ninjutsu, kenjutsu and medical jutsu","Genjutsu, senjutsu and juinjutsu",Explained early in the series.,
nar-044,Naruto,easy,,"Who is Naruto's godfather and mentor, the Toad Sage?",Jiraiya,Orochimaru,Hiruzen Sarutobi,Kakashi Hatake,Chunin Exams arc.,
nar-045,Naruto,easy,,Which Akatsuki member makes explosive clay sculptures and says 'art is an explosion'?,Deidara,Sasori,Kisame,Hidan,Kazekage Rescue arc.,
nar-046,Naruto,easy,,Which shark-like Akatsuki swordsman is partnered with Itachi?,Kisame Hoshigaki,Zabuza Momochi,Kakuzu,Suigetsu,Search for Tsunade arc.,
nar-047,Naruto,easy,,What is the Akatsuki hunting throughout Shippuden?,The Tailed Beasts,The Dragon Balls,The Sharingan,The Hokage,Kazekage Rescue arc.,
nar-048,Naruto,easy,,Who replaces Sasuke on Team 7 in Shippuden?,Sai,Yamato,Rock Lee,Shikamaru,Tenchi Bridge arc.,
nar-049,Naruto,easy,,"Who is Tsunade's assistant, usually seen carrying the pig Tonton?",Shizune,Sakura,Ino,Anko,Search for Tsunade arc.,
nar-050,Naruto,easy,,Who is the Fifth Kazekage at the start of Shippuden?,Gaara,Kankuro,Temari,Baki,Kazekage Rescue arc.,
nar-051,Naruto,easy,,Who ends up marrying Naruto?,Hinata,Sakura,Ino,Temari,The Last: Naruto the Movie and the series epilogue.,
nar-052,Naruto,medium,,Who is Zabuza's masked partner with the Ice Style kekkei genkai?,Haku,Kimimaro,Suigetsu,Zabuza's brother,Land of Waves arc.,
nar-053,Naruto,medium,,"Who proctors the first stage of the Chunin Exams, the written test?",Ibiki Morino,Anko Mitarashi,Hayate Gekko,Genma Shiranui,Chunin Exams arc.,
nar-054,Naruto,medium,,Where does the second stage of the Chunin Exams take place?,The Forest of Death,The Valley of the End,Training Ground 3,The Hokage Rock,Chunin Exams arc.,
nar-055,Naruto,medium,,Which village invades the Hidden Leaf alongside Orochimaru during the Chunin Exam finals?,The Hidden Sand,The Hidden Mist,The Hidden Cloud,The Hidden Rain,Invasion of Konoha arc.,
nar-056,Naruto,medium,,What is Neji's Gentle Fist technique that strikes sixty-four chakra points?,Eight Trigrams Sixty-Four Palms,Rotation,Eight Trigrams One Hundred Twenty-Eight Palms,Twin Lion Fists,Chunin Exams arc.,
